trade_date,symbol,pclose,close,pct_change
2021-06-18,WEMABANK,0.55,0.55,
2021-06-18,ZENITHBANK,23.5,23.8,1.28
2021-06-21,ABCTRANS,0.37,0.37,
2021-06-21,ACADEMY,0.33,0.33,
2021-06-21,ACCESS,8.55,8.55,-0.58
2021-06-21,AFRIPRUD,6.4,6.3,-1.56
2021-06-21,AIICO,1.09,1.09,
2021-06-21,AIRTELAFRI,753.3,753.3,
2021-06-21,ARDOVA,15.5,15.5,
2021-06-21,BERGER,7.7,7.7,
2021-06-21,BETAGLAS,52.95,52.95,
2021-06-21,BOCGAS,10.55,10.55,
2021-06-21,BUACEMENT,71.95,71.95,
2021-06-21,CADBURY,8.0,8.0,
2021-06-21,CAP,19.0,19.0,
2021-06-21,CAVERTON,1.81,1.81,
2021-06-21,CHAMPION,1.98,2.1,6.06
2021-06-21,CHAMS,0.2,0.2,5.0
2021-06-21,CHIPLC,0.67,0.65,-2.99
2021-06-21,CILEASING,4.75,4.75,
2021-06-21,CONOIL,20.5,20.9,1.95
2021-06-21,CORNERST,0.58,0.55,-5.17
2021-06-21,COURTVILLE,0.2,0.2,
2021-06-21,CUSTODIAN,5.95,5.95,
2021-06-21,CUTIX,2.78,2.77,-0.36
2021-06-21,CWG,1.15,1.15,
2021-06-21,DAARCOMM,0.2,0.2,
2021-06-21,DANGCEM,230.0,230.0,
2021-06-21,DANGSUGAR,17.75,17.7,-0.28
2021-06-21,DEAPCAP,0.2,0.2,
2021-06-21,ELLAHLAKES,4.25,4.25,
2021-06-21,ETERNA,7.65,7.65,
2021-06-21,ETI,5.2,5.15,-0.96
2021-06-21,ETRANZACT,2.25,2.25,
2021-06-21,FBNH,7.3,7.3,-0.68
2021-06-21,FCMB,3.19,3.15,-1.25
2021-06-21,FIDELITYBK,2.27,2.27,0.44
2021-06-21,FIDSON,5.1,4.6,-9.8
2021-06-21,FLOURMILL,29.8,29.9,0.34
2021-06-21,FTNCOCOA,0.33,0.3,-9.09
2021-06-21,GLAXOSMITH,6.0,6.0,
2021-06-21,GUINNESS,29.0,29.0,
2021-06-21,HONYFLOUR,1.4,1.44,2.86
2021-06-21,IKEJAHOTEL,0.94,0.97,3.19
2021-06-21,INTBREW,5.4,5.4,
2021-06-21,JAIZBANK,0.59,0.59,
2021-06-21,JAPAULGOLD,0.5,0.49,-2.0
2021-06-21,JBERGER,19.1,20.0,4.71
2021-06-21,LASACO,1.5,1.36,-9.33
2021-06-21,LEARNAFRCA,1.08,1.08,
2021-06-21,LINKASSURE,0.55,0.55,
2021-06-21,LIVESTOCK,1.81,1.84,1.66
2021-06-21,MANSARD,0.9,0.9,1.11
2021-06-21,MAYBAKER,4.04,4.04,
2021-06-21,MBENEFIT,0.45,0.41,-8.89
2021-06-21,MEYER,0.57,0.62,8.77
2021-06-21,MRS,12.6,12.6,
2021-06-21,MTNN,165.0,165.0,
2021-06-21,MULTIVERSE,0.2,0.2,
2021-06-21,NAHCO,2.27,2.3,1.32
2021-06-21,NASCON,14.5,14.5,
2021-06-21,NB,59.0,59.0,
2021-06-21,NEIMETH,1.78,1.78,
2021-06-21,NEM,1.87,1.9,1.6
2021-06-21,NESF,552.2,552.2,
2021-06-21,NESTLE,1400.0,1400.0,
2021-06-21,NIGERINS,0.2,0.2,
2021-06-21,NNFM,6.15,6.15,
2021-06-21,NPFMCRFBK,1.9,1.9,
2021-06-21,OANDO,2.97,2.92,-1.68
2021-06-21,OKOMUOIL,105.5,105.5,
2021-06-21,PRESCO,76.0,76.0,
2021-06-21,PRESTIGE,0.51,0.51,
2021-06-21,PZ,5.8,5.8,
2021-06-21,REDSTAREX,3.35,3.35,
2021-06-21,REGALINS,0.5,0.52,4.0
2021-06-21,ROYALEX,0.72,0.69,-4.17
2021-06-21,SEPLAT,700.0,700.0,
2021-06-21,SFSREIT,68.6,68.6,
2021-06-21,SKYAVN,3.16,3.16,
2021-06-21,SOVRENINS,0.26,0.25,-3.85
2021-06-21,STANBIC,39.0,39.9,2.31
2021-06-21,STERLNBANK,1.59,1.61,1.26
2021-06-21,SUNUASSUR,0.47,0.47,
2021-06-21,TANTALIZER,0.2,0.2,
2021-06-21,TOTAL,145.0,145.0,
2021-06-21,TOURIST,2.84,2.84,
2021-06-21,TRANSCORP,0.92,0.91,-1.09
2021-06-21,UACN,9.7,9.9,2.06
2021-06-21,UAC-PROP,0.81,0.83,2.47
2021-06-21,UBA,7.3,7.3,-0.68
2021-06-21,UBN,5.8,5.8,
2021-06-21,UCAP,6.17,6.17,-0.32
2021-06-21,UHOMREIT,36.6,36.6,
2021-06-21,UNILEVER,13.2,13.2,
2021-06-21,UNITYBNK,0.58,0.58,
2021-06-21,UNIVINSURE,0.2,0.2,
2021-06-21,UPDCREIT,5.6,5.6,
2021-06-21,UPL,1.68,1.68,
2021-06-21,VERITASKAP,0.22,0.22,
2021-06-21,VITAFOAM,12.1,12.4,2.48
2021-06-21,WAPCO,20.9,21.0,0.48
2021-06-21,WAPIC,0.57,0.55,-3.51
2021-06-21,WEMABANK,0.55,0.55,5.45
2021-06-21,ZENITHBANK,23.8,23.9,0.42
2021-06-22,ABCTRANS,0.37,0.37,
2021-06-22,ACCESS,8.55,8.55,-0.58
2021-06-22,AFRINSURE,0.2,0.2,
2021-06-22,AFRIPRUD,6.3,6.3,-3.97
2021-06-22,AIICO,1.09,1.1,0.92
2021-06-22,AIRTELAFRI,753.3,678.0,-10.0
2021-06-22,ARDOVA,15.5,15.5,
2021-06-22,BERGER,7.7,7.7,
2021-06-22,BOCGAS,10.55,10.55,
2021-06-22,BUACEMENT,71.95,70.0,-2.71
2021-06-22,CADBURY,8.0,8.0,
2021-06-22,CAP,19.0,19.0,
2021-06-22,CAVERTON,1.81,1.81,
2021-06-22,CHAMPION,2.1,2.05,-2.38
