event_type,category,event_uid,announced_date,effective_date,publication_ts,scope,index_code,ticker,headline,outcome_numeric,outcome_text,severity,direction,structurally_impairing,source_url,notes
mpc_decision,monetary,CBN-MPC-2011-10-10,2011-10-10,2011-10-10,,market,,,MPC: MPR hike to 12.00%,12.0,hike +275bps,high,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2014-01-21,2014-01-21,2014-01-21,,market,,,MPC: MPR retained at 12.00%,12.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2014-03-25,2014-03-25,2014-03-25,,market,,,MPC: MPR retained at 12.00%,12.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2014-05-20,2014-05-20,2014-05-20,,market,,,MPC: MPR retained at 12.00%,12.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2014-07-22,2014-07-22,2014-07-22,,market,,,MPC: MPR retained at 12.00% (CRR 75.00%),12.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=75.0
mpc_decision,monetary,CBN-MPC-2014-09-19,2014-09-19,2014-09-19,,market,,,MPC: MPR retained at 12.00% (CRR 75.00%),12.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=75.0
mpc_decision,monetary,CBN-MPC-2014-11-25,2014-11-25,2014-11-25,,market,,,MPC: MPR hike to 13.00%,13.0,hike +100bps,high,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2015-01-20,2015-01-20,2015-01-20,,market,,,MPC: MPR retained at 13.00%,13.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2015-03-24,2015-03-24,2015-03-24,,market,,,MPC: MPR retained at 13.00%,13.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2015-05-19,2015-05-19,2015-05-19,,market,,,MPC: MPR retained at 13.00%,13.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2015-07-24,2015-07-24,2015-07-24,,market,,,MPC: MPR retained at 13.00%,13.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2015-09-23,2015-09-23,2015-09-23,,market,,,MPC: MPR retained at 13.00%,13.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2015-11-24,2015-11-24,2015-11-24,,market,,,MPC: MPR cut to 11.00%,11.0,cut -,high,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2016-01-26,2016-01-26,2016-01-26,,market,,,MPC: MPR retained at 11.00% (CRR 20.00%),11.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=20.0
mpc_decision,monetary,CBN-MPC-2016-03-22,2016-03-22,2016-03-22,,market,,,MPC: MPR hike to 12.00%,12.0,hike +100bps,high,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2016-05-24,2016-05-24,2016-05-24,,market,,,MPC: MPR retained at 12.00%,12.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2016-07-26,2016-07-26,2016-07-26,,market,,,MPC: MPR hike to 14.00%,14.0,hike +200bps,high,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2016-09-20,2016-09-20,2016-09-20,,market,,,MPC: MPR retained at 14.00%,14.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2016-11-22,2016-11-22,2016-11-22,,market,,,MPC: MPR retained at 14.00%,14.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2017-01-24,2017-01-24,2017-01-24,,market,,,MPC: MPR retained at 14.00%,14.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2017-03-21,2017-03-21,2017-03-21,,market,,,MPC: MPR retained at 14.00%,14.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2017-05-23,2017-05-23,2017-05-23,,market,,,MPC: MPR retained at 14.00%,14.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2017-07-25,2017-07-25,2017-07-25,,market,,,MPC: MPR retained at 14.00%,14.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2017-09-26,2017-09-26,2017-09-26,,market,,,MPC: MPR retained at 14.00%,14.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2017-11-21,2017-11-21,2017-11-21,,market,,,MPC: MPR retained at 14.00%,14.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2018-04-04,2018-04-04,2018-04-04,,market,,,MPC: MPR retained at 14.00%,14.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2018-05-22,2018-05-22,2018-05-22,,market,,,MPC: MPR retained at 14.00%,14.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2018-07-24,2018-07-24,2018-07-24,,market,,,MPC: MPR retained at 14.00%,14.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2018-09-25,2018-09-25,2018-09-25,,market,,,MPC: MPR retained at 14.00%,14.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2018-11-22,2018-11-22,2018-11-22,,market,,,MPC: MPR retained at 14.00%,14.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2019-01-22,2019-01-22,2019-01-22,,market,,,MPC: MPR retained at 14.00%,14.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
