ticker,first_observation,last_observation,years_observed,calendar_year_gaps,observations,current_security_present,canonical_instrument_id,canonical_mapping_status
FGSUK2032S5,2023-10-17,2026-01-30,4,0,18,True,01a054a7-4be7-7f0d-913d-4bec0f6c2567,unique_current_alias
FGSUK2032S7,2026-03-31,2026-07-13,1,0,12,True,01a054a7-4be7-789c-8359-9f284b77a4aa,unique_current_alias
FGSUK2033S6,2024-04-30,2026-07-21,3,0,28,True,01a054a7-4be7-7fae-a26d-3cd009ebe710,unique_current_alias
FIDELITYBK,2014-06-30,2026-08-07,13,0,5717,True,01a054a7-4be7-7961-9746-2793a436b493,unique_current_alias
FIDSON,2014-06-30,2026-08-07,13,0,5565,True,01a054a7-4be7-7c3e-9e74-a99a63e0c749,unique_current_alias
FIRSTALUM,2014-07-16,2019-05-13,6,0,1059,True,01a054a7-4be7-7069-bd54-a3d902ebcb66,unique_current_alias
FIRSTHOLDCO,2025-03-10,2026-08-07,2,0,662,True,01a054a7-4be7-708b-a36f-a76d5130c378,unique_current_alias
FLOURMILL,2014-06-30,2024-12-13,11,0,4944,True,01a054a7-4be7-727f-9bdf-f23c291e9c36,unique_current_alias
FO,2014-06-30,2020-02-21,7,0,2623,True,01a054a7-4be7-70e0-bf5c-0b608ad36718,unique_current_alias
FORTISMFB,2014-07-16,2018-07-27,5,0,291,True,01a054a7-4be7-706e-bb4a-af49b943881e,unique_current_alias
FTGINSURE,2026-02-04,2026-08-07,1,0,210,True,01a054a7-4be7-79cc-bd23-f0f134971df4,unique_current_alias
FTNCOCOA,2014-06-30,2026-08-07,13,0,3710,True,01a054a7-4be7-75ab-a3d0-7b7821a32813,unique_current_alias
FirstHoldCo,2025-03-06,2025-03-07,1,0,4,True,01a054a7-4be7-7209-b42d-02ec08457f11,unique_current_alias
GCAPPA,2014-07-16,2016-05-16,3,0,112,True,01a054a7-4be7-75df-b814-7bdc42270a17,unique_current_alias
GEREGU,2022-10-05,2026-08-07,5,0,1767,True,01a054a7-4be7-7930-a11f-7c4f49ab1c5b,unique_current_alias
